ANIO,MES,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,PRESTADOR,PROB_COMERCIAL,PROB_OPERACIONAL,PROB_OTROS,FECHA_CORTE;;;;;;;;;;;=
2021,202101,210903,Puno,Moho,Huayrapata,OTRO PEQUEÑAS CIUDADES,0,0,2,20230808;;;;;;;;;;;
2021,202101,010205,Amazonas,Bagua,Imaza,OTRO ZONAS RURALES,0,0,4,20230808;;;;;;;;;;;
2021,202101,010302,Amazonas,Bongara,Chisquilla,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,010303,Amazonas,Bongara,Churuja,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,010309,Amazonas,Bongara,San Carlos,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,010310,Amazonas,Bongara,Shipasbamba,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,010101,Amazonas,Chachapoyas,Chachapoyas,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,010514,Amazonas,Luya,Pisuquia,OTRO ZONAS RURALES,0,1,6,20230808;;;;;;;;;;;
2021,202101,010522,Amazonas,Luya,Tingo,OTRO ZONAS RURALES,0,1,0,20230808;;;;;;;;;;;
2021,202101,010602,Amazonas,Rodriguez de Mendoza,Chirimoto,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,010603,Amazonas,Rodriguez de Mendoza,Cochamal,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,010605,Amazonas,Rodriguez de Mendoza,Limabamba,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,020804,Ancash,Casma,Yautan,OTRO ZONAS RURALES,0,2,0,20230808;;;;;;;;;;;
2021,202101,020105,Ancash,Huaraz,Independencia,OTRO ZONAS RURALES,1,0,2,20230808;;;;;;;;;;;
2021,202101,021503,Ancash,Pallasca,Conchucos,OTRO ZONAS RURALES,0,1,0,20230808;;;;;;;;;;;
2021,202101,021801,Ancash,Santa,Chimbote,OTRO ZONAS RURALES,0,6,5,20230808;;;;;;;;;;;
2021,202101,021809,Ancash,Santa,Nuevo Chimbote,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,030101,Apurimac,Abancay,Abancay,OTRO ZONAS RURALES,0,0,5,20230808;;;;;;;;;;;
2021,202101,050108,Ayacucho,Huamanga,Quinua,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,060201,Cajamarca,Cajabamba,Cajabamba,OTRO ZONAS RURALES,1,0,0,20230808;;;;;;;;;;;
2021,202101,060101,Cajamarca,Cajamarca,Cajamarca,OTRO ZONAS RURALES,0,0,3,20230808;;;;;;;;;;;
2021,202101,060103,Cajamarca,Cajamarca,Chetilla,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,060106,Cajamarca,Cajamarca,Jesus,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,060108,Cajamarca,Cajamarca,Los Baños del Inca,OTRO ZONAS RURALES,0,0,2,20230808;;;;;;;;;;;
2021,202101,060303,Cajamarca,Celendin,Cortegana,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,060607,Cajamarca,Cutervo,Querocotillo,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,061103,Cajamarca,San Miguel,Calquis,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,080302,Cusco,Anta,Ancahuasi,OTRO ZONAS RURALES,0,0,3,20230808;;;;;;;;;;;
2021,202101,080107,Cusco,Cusco,Saylla,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,081202,Cusco,Quispicanchi,Andahuaylillas,OTRO ZONAS RURALES,0,1,5,20230808;;;;;;;;;;;
2021,202101,090207,Huancavelica,Acobamba,Pomacocha,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,090304,Huancavelica,Angaraes,Ccochaccasa,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,090301,Huancavelica,Angaraes,Lircay,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,090103,Huancavelica,Huancavelica,Acoria,OTRO ZONAS RURALES,1,0,3,20230808;;;;;;;;;;;
2021,202101,090101,Huancavelica,Huancavelica,Huancavelica,OTRO ZONAS RURALES,0,0,4,20230808;;;;;;;;;;;
2021,202101,090113,Huancavelica,Huancavelica,Nuevo Occoro,OTRO ZONAS RURALES,0,0,4,20230808;;;;;;;;;;;
2021,202101,090117,Huancavelica,Huancavelica,Yauli,OTRO ZONAS RURALES,0,0,5,20230808;;;;;;;;;;;
2021,202101,100102,Huanuco,Huanuco,Amarilis,OTRO ZONAS RURALES,0,1,0,20230808;;;;;;;;;;;
2021,202101,100101,Huanuco,Huanuco,Huanuco,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,110101,Ica,Ica,Ica,OTRO ZONAS RURALES,0,1,0,20230808;;;;;;;;;;;
2021,202101,120111,Junin,Huancayo,Chupuro,OTRO ZONAS RURALES,0,5,8,20230808;;;;;;;;;;;
2021,202101,120122,Junin,Huancayo,Ingenio,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,120133,Junin,Huancayo,Sapallanga,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,120422,Junin,Jauja,Paca,OTRO ZONAS RURALES,0,0,2,20230808;;;;;;;;;;;
2021,202101,120424,Junin,Jauja,Pancan,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,120431,Junin,Jauja,Sincos,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,130202,La Libertad,Ascope,Chicama,OTRO ZONAS RURALES,0,0,2,20230808;;;;;;;;;;;
2021,202101,130702,La Libertad,Pacasmayo,Guadalupe,OTRO ZONAS RURALES,0,1,0,20230808;;;;;;;;;;;
2021,202101,140305,Lambayeque,Lambayeque,Mochumi,OTRO ZONAS RURALES,1,0,0,20230808;;;;;;;;;;;
2021,202101,150501,Lima,Cañete,San Vicente de Cañete,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,170104,Madre de Dios,Tambopata,Laberinto,OTRO ZONAS RURALES,1,0,0,20230808;;;;;;;;;;;
2021,202101,200401,Piura,Morropon,Chulucanas,OTRO ZONAS RURALES,1,0,0,20230808;;;;;;;;;;;
2021,202101,200105,Piura,Piura,Catacaos,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,200101,Piura,Piura,Piura,OTRO ZONAS RURALES,0,0,3,20230808;;;;;;;;;;;
2021,202101,200115,Piura,Piura,Veintiseis de Octubre,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,200607,Piura,Sullana,Querecotillo,OTRO ZONAS RURALES,0,2,1,20230808;;;;;;;;;;;
2021,202101,210807,Puno,Melgar,Orurillo,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,220101,San Martin,Moyobamba,Moyobamba,OTRO ZONAS RURALES,2,0,0,20230808;;;;;;;;;;;
2021,202101,220805,San Martin,Rioja,Pardo Miguel,OTRO ZONAS RURALES,2,0,0,20230808;;;;;;;;;;;
2021,202101,220910,San Martin,San Martin,Morales,OTRO ZONAS RURALES,0,0,1,20230808;;;;;;;;;;;
2021,202101,221001,San Martin,Tocache,Tocache,OTRO ZONAS RURALES,1,0,0,20230808;;;;;;;;;;;
2021,202101,240105,Tumbes,Tumbes,San Jacinto,OTRO ZONAS RURALES,1,0,1,20230808;;;;;;;;;;;
