NUM;FECHA_CORTE;PERIODO;TIPO_LARGA_DISTANCIA;EMPRESA;CÓDIGO;TIPO_TRÁFICO;TRÁFICO;;;;;;;;
168;20240617;200302;Larga Distancia Nacional;IDT PERÚ S.R.L.;C;Tarjetas de Pago;10,082.00;;;;;;;;
169;20240617;200302;Larga Distancia Internacional - Saliente;IDT PERÚ S.R.L.;C;Tarjetas de Pago;8,157.00;;;;;;;;
170;20240617;200302;Larga Distancia Internacional - Entrante;IDT PERÚ S.R.L.;H;No reportado;21,638,699.00;;;;;;;;
171;20240617;200302;Larga Distancia Internacional - Saliente;IMPSAT PERÚ S.A.C. / GLOBAL CROSSING / LEVEL 3;A;Preselección;112,620.90;;;;;;;;
172;20240617;200302;Larga Distancia Internacional - Saliente;IMPSAT PERÚ S.A.C. / GLOBAL CROSSING / LEVEL 3;D;Tráfico originado en líneas de telefonía móvil;88,440.29;;;;;;;;
173;20240617;200302;Larga Distancia Nacional;IMPSAT PERÚ S.A.C. / GLOBAL CROSSING / LEVEL 3 / CENTURYLINK;A;Preselección;96,035.43;;;;;;;;
174;20240617;200302;Larga Distancia Nacional;INFODUCTOS Y TELECOMUNICACIONES DEL PERU S.A.;A;Preselección;27.00;;;;;;;;
175;20240617;200302;Larga Distancia Internacional - Saliente;INFODUCTOS Y TELECOMUNICACIONES DEL PERU S.A.;A;Preselección;302.00;;;;;;;;
176;20240617;200302;Larga Distancia Nacional;INFODUCTOS Y TELECOMUNICACIONES DEL PERU S.A.;B;Llamada por Llamada;7,593.00;;;;;;;;
177;20240617;200302;Larga Distancia Internacional - Saliente;INFODUCTOS Y TELECOMUNICACIONES DEL PERU S.A.;B;Llamada por Llamada;62,605.00;;;;;;;;
178;20240617;200302;Larga Distancia Nacional;L.A. & C. PERÚ S.A.;C;Tarjetas de Pago;225.00;;;;;;;;
179;20240617;200302;Larga Distancia Internacional - Entrante;L.A. & C. PERÚ S.A.;H;No reportado;510,579.00;;;;;;;;
180;20240617;200302;Larga Distancia Internacional - Saliente;LATPERÚ S.A.C.;C;Tarjetas de Pago;1,394.00;;;;;;;;
181;20240617;200302;Larga Distancia Internacional - Entrante;LATPERÚ S.A.C.;H;No reportado;134,662.00;;;;;;;;
182;20240617;200302;Larga Distancia Nacional;LIMATEL S.A.;A;Preselección;29,488.00;;;;;;;;
183;20240617;200302;Larga Distancia Internacional - Saliente;LIMATEL S.A.;A;Preselección;58,353.00;;;;;;;;
184;20240617;200302;Larga Distancia Nacional;LIMATEL S.A.;C;Tarjetas de Pago;14,105.00;;;;;;;;
185;20240617;200302;Larga Distancia Internacional - Saliente;LIMATEL S.A.;C;Tarjetas de Pago;117,190.00;;;;;;;;
186;20240617;200302;Larga Distancia Internacional - Entrante;LIMATEL S.A.;H;No reportado;1,902,844.00;;;;;;;;
187;20240617;200302;Larga Distancia Nacional;NORTEK;A;Preselección;5,070.00;;;;;;;;
188;20240617;200302;Larga Distancia Internacional - Saliente;NORTEK;A;Preselección;2,433.00;;;;;;;;
189;20240617;200302;Larga Distancia Nacional;NORTEK;C;Tarjetas de Pago;850,933.00;;;;;;;;
190;20240617;200302;Larga Distancia Internacional - Saliente;NORTEK;C;Tarjetas de Pago;110,844.00;;;;;;;;
191;20240617;200302;Larga Distancia Internacional - Entrante;NORTEK;H;No reportado;888,762.98;;;;;;;;
192;20240617;200302;Larga Distancia Nacional;ORMEÑO;B;Llamada por Llamada;12,818.38;;;;;;;;
193;20240617;200302;Larga Distancia Internacional - Saliente;ORMEÑO;B;Llamada por Llamada;3,619.75;;;;;;;;
194;20240617;200302;Larga Distancia Internacional - Entrante;ORMEÑO;H;No reportado;352,154.55;;;;;;;;
195;20240617;200302;Larga Distancia Nacional;PERUSAT S.A./ VELATEL / OLO;A;Preselección;254,259.53;;;;;;;;
196;20240617;200302;Larga Distancia Nacional;PERUSAT S.A./ VELATEL / OLO;B;Llamada por Llamada;4,234.30;;;;;;;;
197;20240617;200302;Larga Distancia Nacional;PERUSAT S.A./ VELATEL / OLO;C;Tarjetas de Pago;114,308.50;;;;;;;;
